"","X","Reservoir","Site","DateTime","Depth_m","TN_ugL","TP_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_TN","Flag_TP","Flag_NH4","Flag_NO3NO2","Flag_SRP","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN","Date","Year"
"1",3179,"FCR",50,"2019-05-20 12:00:00",1.6,NA,NA,4,3,12,3.4,4.9,8.3,0.116,NA,NA,0,0,3,0,0,0,0,2019-05-20,"2019"
"2",3186,"FCR",50,"2019-05-23 12:00:00",1.6,NA,NA,10,3,11,1.9,4.8,6.7,0.128,NA,NA,0,0,3,0,0,0,0,2019-05-23,"2019"
"3",3192,"FCR",50,"2019-05-27 12:00:00",1.6,323,3.5,6,4,8,2.1,5.1,7.1,0.14,0,3,0,0,0,0,0,0,0,2019-05-27,"2019"
"4",3207,"FCR",50,"2019-05-30 12:00:00",1.6,NA,NA,NA,NA,NA,1.8,5.2,6.9,0.112,NA,NA,NA,NA,NA,0,0,0,0,2019-05-30,"2019"
"5",3214,"FCR",50,"2019-06-03 12:00:00",1.6,NA,NA,6,3,10,2,5.3,7.3,0.116,NA,NA,0,0,3,0,0,0,0,2019-06-03,"2019"
"6",3234,"FCR",50,"2019-06-13 12:00:00",1.6,NA,NA,5,3,11,2.4,5.1,7.5,0.15,NA,NA,0,0,3,0,0,0,0,2019-06-13,"2019"
"7",3283,"FCR",50,"2019-07-03 12:00:00",1.6,NA,NA,8,3,12,3.4,5.4,8.8,0.205,NA,NA,0,0,3,0,0,0,0,2019-07-03,"2019"
"8",3290,"FCR",50,"2019-07-08 12:00:00",1.6,NA,NA,9,4,11,3.6,5.5,9.1,0.219,NA,NA,0,0,3,0,0,0,0,2019-07-08,"2019"
"9",3302,"FCR",50,"2019-07-15 12:00:00",1.6,NA,NA,4,3,13,4.1,5.9,10,0.272,NA,NA,0,0,3,0,0,0,0,2019-07-15,"2019"
"10",3317,"FCR",50,"2019-07-18 12:00:00",1.6,NA,NA,11,3,13,4.8,5.8,10.7,0.363,NA,NA,3,0,3,0,0,0,0,2019-07-18,"2019"
"11",3325,"FCR",50,"2019-07-22 12:00:00",1.6,NA,NA,9,3,13,4.8,5.7,10.5,0.306,NA,NA,0,0,3,0,0,0,0,2019-07-22,"2019"
"12",3336,"FCR",50,"2019-07-25 12:00:00",1.6,NA,NA,7,3,14,4.4,5.9,10.3,0.248,NA,NA,0,0,3,0,0,0,0,2019-07-25,"2019"
"13",3340,"FCR",50,"2019-07-29 12:00:00",1.6,NA,NA,6,6,14,4.6,6.1,10.7,0.305,NA,NA,0,0,3,0,0,0,0,2019-07-29,"2019"
"14",3353,"FCR",50,"2019-08-05 12:00:00",1.6,NA,NA,8,3,11,4.7,5.9,10.6,0.286,NA,NA,0,0,3,0,0,0,0,2019-08-05,"2019"
"15",3360,"FCR",50,"2019-08-08 12:00:00",1.6,NA,NA,NA,NA,NA,4.9,6,10.9,0.314,NA,NA,NA,NA,NA,0,0,0,0,2019-08-08,"2019"
"16",3366,"FCR",50,"2019-08-12 12:00:00",1.6,356,27.2,18,3,13,4.8,6.1,10.9,0.296,0,3,3,0,3,0,0,0,0,2019-08-12,"2019"
"17",3374,"FCR",50,"2019-08-14 12:00:00",1.6,NA,NA,9,3,14,5.5,5.8,11.2,0.35,NA,NA,0,0,3,0,0,0,0,2019-08-14,"2019"
"18",3380,"FCR",50,"2019-08-19 12:00:00",1.6,NA,NA,13,4,13,6.2,5.8,12,0.452,NA,NA,3,0,3,0,0,0,0,2019-08-19,"2019"
"19",3395,"FCR",50,"2019-08-22 12:00:00",1.6,NA,NA,8,5,7,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,2019-08-22,"2019"
